#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
090611+011951,136.546024,1.331024,-99.000,-99.000,0.65,-99.00,-99.,20.36,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
090618+003053,136.578865,0.514958,-99.000,-99.000,0.88,-99.00,-99.,21.29,-99.00,GG,VY,B,SuGOHI6
090707-004741,136.779531,-0.794849,-99.000,-99.000,0.76,-99.00,-99.,19.80,-99.00,GG,V,B,SuGOHI6
090822-010752,137.092990,-1.131186,-99.000,-99.000,0.77,-99.00,-99.,20.42,-99.00,GG,VY,B,SuGOHI6
090833+000806,137.141282,0.135082,0.689,-99.000,-99.00,-99.00,-99.,19.69,22.87,GG,YCVN,B,"SuGOHI1 SuGOHI6 SuGOHI10"
090836-010912,137.152970,-1.153580,0.761,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
090938+002842,137.410818,0.478488,-99.000,-99.000,0.74,-99.00,-99.,20.62,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
091003+025254,137.515850,2.881700,0.815,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
091031+003142,137.631696,0.528578,-99.000,-99.000,0.25,-99.00,-99.,17.97,-99.00,GG,VY,B,SuGOHI6
091033+000712,137.638071,0.120020,-99.000,-99.000,0.48,-99.00,-99.,19.59,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
091148+041852,137.953829,4.314682,0.861,2.630,0.81,-99.00,-99.,21.24,-99.00,GG,VY,B,SuGOHI6
091331+003906,138.379567,0.651741,0.409,-99.000,-99.00,-99.00,-99.,18.23,20.05,GG,YV,B,"SuGOHI1 LinKS SuGOHI5"
091351+014131,138.466344,1.692052,-99.000,-99.000,0.47,-99.00,-99.,19.19,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
091413-002444,138.556129,-0.412251,-99.000,-99.000,0.75,-99.00,-99.,20.68,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
091513+000833,138.805051,0.142592,-99.000,-99.000,0.48,-99.00,-99.,19.04,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
091719+033410,139.330850,3.569540,0.583,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
091740+004438,139.420300,0.743912,-99.000,-99.000,0.31,-99.00,-99.,18.16,-99.00,GG,VY,B,SuGOHI6
092110-010950,140.292670,-1.164000,0.600,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
092120+044430,140.336497,4.741846,-99.000,-99.000,0.59,-99.00,-99.,19.61,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
092136+021409,140.402757,2.235963,-99.000,-99.000,0.34,-99.00,-99.,18.58,-99.00,GG,VY,B,SuGOHI6
092309+021350,140.790700,2.230800,-99.000,-99.000,1.05,-99.00,-99.,21.40,-99.00,GG,V,B,SuGOHI5
092418+045843,141.077880,4.978714,-99.000,-99.000,0.94,-99.00,-99.,21.14,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
092612-000625,141.553810,-0.107030,0.546,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
092627+000759,141.615040,0.133210,0.649,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
092647+050003,141.699020,5.000850,0.579,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
092649-004516,141.706400,-0.754530,0.700,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
092746+002401,141.943960,0.400470,0.286,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
092800+044653,142.003558,4.781527,0.739,-99.000,-99.00,-99.00,-99.,21.25,-99.00,GG,Y,B,SuGOHI8
092829-004513,142.124110,-0.753620,0.430,-99.000,0.35,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
093036-020204,142.653600,-2.034450,0.900,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
093401-002944,143.507880,-0.495740,0.750,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
