#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
022952-061741,37.468980,-6.294809,-99.000,-99.000,0.69,-99.00,-99.,20.42,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
022955-044230,37.481690,-4.708340,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022959-022958,37.499120,-2.499540,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023005-054059,37.522830,-5.683153,0.193,-99.000,-99.00,-99.00,-99.,16.61,22.45,GG,Y,C,SuGOHI1
023007-051955,37.532982,-5.332098,0.661,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
023016-024444,37.570437,-2.745750,-99.000,-99.000,0.49,-99.00,-99.,18.89,-99.00,GG,VYCN,C,"SuGOHI6 SuGOHI10"
023034-024153,37.643284,-2.698219,-99.000,-99.000,0.87,-99.00,-99.,21.03,-99.00,GG,V,C,SuGOHI6
023038-050012,37.662285,-5.003569,0.291,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
023044-014443,37.685167,-1.745370,-99.000,-99.000,0.63,-99.00,-99.,19.51,-99.00,GG,V,C,SuGOHI6
023051-020949,37.713477,-2.163688,-99.000,-99.000,0.55,-99.00,-99.,19.03,-99.00,GG,V,C,SuGOHI6
023053-030832,37.722360,-3.142270,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023058-062503,37.741990,-6.417750,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023100-023020,37.752798,-2.505766,-99.000,-99.000,0.96,-99.00,-99.,21.63,-99.00,GG,V,C,SuGOHI6
023103-021050,37.764624,-2.180609,-99.000,-99.000,0.79,-99.00,-99.,20.00,-99.00,GG,VY,C,SuGOHI6
023122-052310,37.844387,-5.386288,-99.000,-99.000,0.80,-99.00,-99.,20.62,-99.00,GG,V,C,SuGOHI6
023135-013749,37.896106,-1.630361,-99.000,-99.000,0.64,-99.00,-99.,19.94,-99.00,GG,V,C,SuGOHI6
023135-025322,37.897002,-2.889544,0.551,-99.000,-99.00,-99.00,-99.,19.30,23.20,GG,YC,C,SuGOHI1
023135-030152,37.896905,-3.031345,0.261,-99.000,-99.00,-99.00,-99.,17.57,20.66,GG,Y,C,SuGOHI1
023143-030208,37.932564,-3.035768,-99.000,-99.000,0.92,-99.00,-99.,21.56,-99.00,GG,V,C,SuGOHI6
023146-021221,37.944200,-2.205800,-99.000,-99.000,0.62,2.21,-99.,19.50,22.67,GG,V,C,SuGOHI5
023149-031021,37.954231,-3.172648,-99.000,-99.000,0.53,-99.00,-99.,19.30,-99.00,GG,V,C,SuGOHI6
023152-024141,37.967778,-2.694951,-99.000,-99.000,0.85,-99.00,-99.,20.61,-99.00,GG,V,C,SuGOHI6
023152-055233,37.967120,-5.875864,0.606,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,C,C,SuGOHI1
023158-031935,37.994267,-3.326585,0.274,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
023159-031949,37.996383,-3.330325,0.561,-99.000,-99.00,-99.00,-99.,19.15,21.55,GG,Y,C,SuGOHI1
023218-012103,38.077062,-1.351091,0.392,-99.000,-99.00,-99.00,-99.,18.40,22.47,GG,Y,C,SuGOHI2
023225-044938,38.106520,-4.827440,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023246-055956,38.192820,-5.998900,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023257-051515,38.239079,-5.254356,-99.000,-99.000,0.73,-99.00,-99.,20.27,-99.00,GG,V,C,SuGOHI6
023302-044224,38.262455,-4.706827,0.628,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
023303-022104,38.265981,-2.351279,-99.000,-99.000,0.72,-99.00,-99.,19.89,-99.00,GG,V,C,SuGOHI6
023303-023131,38.264096,-2.525439,-99.000,-99.000,0.93,-99.00,-99.,21.40,-99.00,GG,V,C,SuGOHI6
023308-053923,38.285500,-5.656400,-99.000,-99.000,0.35,-99.00,-99.,19.42,-99.00,GG,V,C,SuGOHI5
023313-020413,38.306090,-2.070430,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023314-024352,38.311994,-2.731247,-99.000,-99.000,0.70,-99.00,-99.,20.54,-99.00,GG,VYCN,C,"SuGOHI6 SuGOHI10"
023325-053103,38.354510,-5.517666,-99.000,-99.000,0.52,-99.00,-99.,19.29,-99.00,GG,VY,C,"SuGOHI6 Gavazzi et al. 2014"
023326-022826,38.361785,-2.473960,-99.000,-99.000,0.58,-99.00,-99.,19.70,-99.00,GG,VY,C,SuGOHI6
023336-054535,38.403900,-5.759800,-99.000,-99.000,0.36,-99.00,-99.,19.88,20.04,GG,V,C,SuGOHI5
023350-044443,38.458480,-4.745510,-99.000,-99.000,0.84,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023352-030437,38.467922,-3.076957,-99.000,-99.000,0.88,-99.00,-99.,21.43,-99.00,GG,VY,C,SuGOHI6
023408-035841,38.534852,-3.978332,0.453,-99.000,-99.00,-99.00,-99.,18.76,22.15,GG,Y,C,SuGOHI1
023419-031953,38.582770,-3.331612,0.506,-99.000,-99.00,-99.00,-99.,19.40,22.70,GG,YCN,C,"SuGOHI1 SuGOHI10"
023433-035040,38.640110,-3.844520,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023438-014153,38.658860,-1.698080,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023444-033540,38.684205,-3.594539,-99.000,-99.000,0.75,-99.00,-99.,20.12,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
023447-041241,38.698775,-4.211573,0.451,-99.000,-99.00,-99.00,-99.,18.65,23.84,GG,Y,C,SuGOHI1
023448-034905,38.701829,-3.818137,-99.000,-99.000,0.46,-99.00,-99.,19.11,-99.00,GG,V,C,SuGOHI6
023448-051128,38.700696,-5.191236,0.566,-99.000,-99.00,-99.00,-99.,19.72,22.96,GG,Y,C,SuGOHI1
023514-041854,38.812003,-4.315230,-99.000,-99.000,0.43,-99.00,-99.,19.31,-99.00,GG,VY,C,SuGOHI6
023524-014128,38.851500,-1.691120,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023540-040158,38.919279,-4.032817,-99.000,-99.000,0.35,-99.00,-99.,18.16,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
023543-021506,38.930430,-2.251930,-99.000,-99.000,0.61,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023624-042747,39.102222,-4.463060,-99.000,-99.000,1.12,-99.00,-99.,21.36,-99.00,GG,V,C,SuGOHI6
023632-053419,39.136100,-5.572030,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023637+025729,39.155959,2.958314,0.668,-99.000,-99.00,-99.00,-99.,21.75,-99.00,GG,Y,C,SuGOHI8
023713-064426,39.307900,-6.740600,-99.000,-99.000,0.69,-99.00,-99.,19.47,-99.00,GG,V,C,SuGOHI5
023722-063732,39.345192,-6.625609,-99.000,-99.000,0.40,-99.00,-99.,18.94,-99.00,GG,VY,C,SuGOHI6
023726-041620,39.360770,-4.272280,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023733-051015,39.390842,-5.171043,0.451,-99.000,-99.00,-99.00,-99.,18.64,21.61,GG,Y,C,SuGOHI1
