Cand;objID;RAJ2000.;DEJ2000.;Grade;z;imag;Notes;r_z;SimbadName
DESJ0116-2437 ;303683708;019.19494;-24.61724; 2.3; 0.49; 18.9;   ;        ;DES J011646.78-243702.0
DESJ0116-2812 ;306051370;019.03047;-28.20691; 2.3; 0.57; 19.4;   ;        ;DES J011607.31-281224.8
DESJ0117-0527 ;306602282;019.49477;-05.45492; 3.0; 0.57; 19.4;   ;        ;DES J011758.74-052717.7
DESJ0117-2428 ;305408672;019.48697;-24.47351; 2.3; 0.60; 19.6;   ;        ;DES J011756.87-242824.6
DESJ0118-6156 ;356474720;019.67740;-61.93700; 2.7; 0.36; 17.9;d  ;        ;DES J011842.57-615613.2
DESJ0120-1524 ;352509235;020.21765;-15.40024; 2.7; 0.14; 19.8;   ;        ;DES J012052.23-152400.8
DESJ0120-1820 ;354176405;020.10736;-18.33381; 2.7; 0.56; 19.7;   ;        ;DES J012025.76-182001.7
DESJ0120-5143 ;356634575;020.17597;-51.73141; 3.0; 0.53; 18.9;a  ;       1;[DBL2017] DES J0120-5143 (A)
DESJ0121-2430 ;350999635;020.28930;-24.51592; 2.3; 0.46; 18.6;   ;        ;DES J012109.43-243057.3
DESJ0122-3654 ;217857957;020.61365;-36.90738; 2.0; 0.46; 18.2;   ;        ;DES J012227.27-365426.5
DESJ0122-5837 ;217795122;020.50437;-58.62184; 2.3; 0.50; 19.4;a  ;       1;[DBL2017] DES J0122-5837 (A)
DESJ0124-0157 ;221584166;021.17193;-01.95944; 2.0; 0.82; 20.5;   ;        ;DES J012441.26-015733.9
DESJ0124-1443 ;223066247;021.22109;-14.71738; 2.7; 0.46; 18.6;   ;        ;DES J012453.06-144302.5
DESJ0124-2401 ;217262328;021.08599;-24.02993; 2.7; 0.65; 19.0;   ;        ;DES J012420.63-240147.7
DESJ0124-2918 ;222540376;021.11886;-29.31561; 2.0; 0.52; 19.1;   ;        ;DES J012428.52-291856.1
DESJ0124-5207 ;219528181;021.13009;-52.11745; 3.0; 0.89; 20.7;   ;        ;DES J012431.22-520702.8
DESJ0125-3645 ;266734513;021.26461;-36.76638; 2.7; 0.77; 19.5;   ;        ;DES J012503.50-364558.9
DESJ0125-4142 ;224929412;021.38994;-41.70499; 2.7; 0.58; 19.7;a  ;       1;[DBL2017] DES J0125-4142 (A)
DESJ0126-1316 ;223750447;021.54952;-13.27835; 2.7; 0.71; 20.0;   ;        ;DES J012611.88-131642.0
DESJ0127-4532 ;226005640;021.97158;-45.54274; 3.0; 0.54; 19.2;   ;        ;DES J012753.17-453233.8
DESJ0129-1142 ;223226715;022.38341;-11.70389; 2.0; 0.40; 18.7;   ;        ;DES J012932.01-114214.0
DESJ0130-1520 ;226417019;022.61039;-15.33691; 2.7; 0.63; 18.9;   ;        ;DES J013026.49-152012.8
DESJ0130-1600 ;226454845;022.71060;-16.00237; 2.3; 0.67; 19.3;   ;        ;DES J013050.54-160008.5
DESJ0130-3744 ;227384193;022.51201;-37.74938; 3.0; 0.68; 18.6;d  ;        ;DES J013002.88-374457.7
DESJ0132-4707 ;229648634;023.20825;-47.12700; 2.0; 0.65; 19.2;   ;        ;DES J013249.98-470737.2
DESJ0133-1252 ;229855710;023.34212;-12.86700; 3.0; 0.71; 19.9;   ;        ;DES J013322.10-125201.2
DESJ0133-3137 ;231118197;023.36279;-31.61788; 2.0; 0.64; 20.0;   ;        ;DES J013327.06-313704.3
DESJ0133-6434 ;231207919;023.47773;-64.57028; 3.0; 0.39; 17.3;   ;        ;DES J013354.65-643413.0
DESJ0134-2007 ;231379862;023.51597;-20.11916; 2.3; 0.82; 20.1;   ;        ;DES J013403.83-200708.9
DESJ0134-2910 ;233143229;023.56563;-29.17774; 2.3; 0.48; 19.5;   ;        ;DES J013415.75-291039.8
DESJ0135-1724 ;232664847;023.81460;-17.40428; 2.0; 0.59; 20.1;d  ;        ;DES J013515.50-172415.4
DESJ0135-2033 ;234710389;023.92831;-20.55986; 3.0; 0.60; 18.6;   ;        ;DES J013542.79-203335.4
DESJ0135-4232 ;233214974;023.84512;-42.53987; 3.0; 0.41; 18.3;a  ;       1;DES J013522.82-423223.5
DESJ0136+0008 ;232681341;024.16310;+00.13836; 2.0; 0.39; 17.3;   ;        ;[YHW2016] 024.16301+00.13833
DESJ0136-1946 ;234789337;024.17633;-19.76814; 2.0; 0.56; 20.0;d  ;        ;DES J013642.31-194605.3
DESJ0136-2200 ;233940448;024.21191;-22.00758; 2.3; 0.65; 19.4;   ;        ;DES J013650.85-220027.2
DESJ0137-0830 ;232424091;024.32850;-08.51552; 2.3; 0.51; 19.2;   ;        ;DES J013718.84-083055.8
DESJ0138-2844 ;235536548;024.59567;-28.73555; 3.0; 0.44; 18.6;d  ;        ;DES J013822.96-284407.9
DESJ0141-1713 ;250156458;025.27558;-17.22326; 2.7; 0.61; 19.0;   ;        ;DES J014106.13-171323.7
DESJ0141-4040 ;249306554;025.39168;-40.67592; 3.0; 0.73; 19.5;   ;        ;DES J014134.00-404033.3
DESJ0142-1648 ;250131070;025.64570;-16.80487; 3.0; 0.60; 19.5;   ;        ;DES J014234.96-164817.5
DESJ0142-1831 ;266036534;025.72030;-18.52105; 3.0; 0.69; 19.0;   ;        ;DES J014252.87-183115.7
DESJ0143-0850 ;266637953;025.86222;-08.83925; 3.0; 0.68; 19.6;   ;        ;DES J014326.93-085021.3
DESJ0143-5010 ;252503033;025.80483;-50.17021; 2.0; 0.83; 20.2;   ;        ;DES J014313.15-501012.7
DESJ0144-0007 ;250028514;026.01673;-00.12953; 2.0; 0.55; 19.0;   ;        ;DES J014404.01-000746.3
DESJ0144-1142 ;266563942;026.13855;-11.70328; 2.7; 0.20; 20.5;c  ;        ;DES J014433.25-114211.8
DESJ0145+0402 ;266307302;026.48478;+04.04139; 2.7; 0.66; 19.8;   ;        ;DES J014556.34+040229.0
DESJ0145-0455 ;266806536;026.26791;-04.93084; 2.7; 0.60; 19.0;a  ;      20;[SAB2013] SDSS J0145-0455 lens
DESJ0145-3541 ;269158080;026.44493;-35.69093; 3.0; 0.49; 18.8;   ;        ;DES J014546.78-354127.3
DESJ0146-0929 ;267163838;026.73342;-09.49779; 3.0; 0.46; 17.4;b  ;        ;DES J014656.02-092952.0
DESJ0147-1206 ;268993332;026.80800;-12.11332; 2.3; 0.64; 20.2;d  ;        ;DES J014713.92-120647.9
DESJ0147-4726 ;258039666;026.92084;-47.44452; 2.3; 0.47; 18.8;a,d;       1;[DBL2017] DES J0147-4726 (A)
DESJ0148-2251 ;254368847;027.13131;-22.85774; 2.3; 0.62; 19.2;d  ;        ;DES J014831.51-225127.8
DESJ0149-1306 ;258360663;027.47387;-13.10269; 2.7; 0.78; 20.1;   ;        ;DES J014953.72-130609.6
DESJ0149-1349 ;257546600;027.32835;-13.81795; 2.7; 0.84; 20.3;   ;        ;DES J014918.80-134904.6
DESJ0149-1658 ;256687047;027.27158;-16.98188; 2.3; 0.63; 18.6;d  ;        ;DES J014905.17-165854.7
DESJ0149-3137 ;257110637;027.28328;-31.62730; 2.7; 0.71; 19.1;   ;        ;DES J014907.98-313738.2
DESJ0149-3806 ;254428301;027.43714;-38.11493; 2.3; 0.54; 18.6;   ;        ;DES J014944.91-380653.7
DESJ0149-3825 ;255329067;027.35922;-38.42540; 2.7; 0.40; 17.9;   ;        ;2MFGC 1370
DESJ0150-0242 ;258491830;027.67649;-02.70180; 2.0; 0.62; 19.6;   ;        ;DES J015042.35-024206.4
DESJ0150-0304 ;253888373;027.53794;-03.07730; 3.0; 0.68; 20.4;d  ;        ;DES J015009.10-030438.2
DESJ0150-2216 ;255897453;027.70849;-22.27092; 2.7; 0.41; 18.2;d  ;        ;DES J015050.03-221615.3
DESJ0151-3237 ;257318192;027.95172;-32.62105; 2.3; 0.44; 17.3;b  ;        ;DES J015148.41-323715.7
DESJ0152-5838 ;263627869;028.06807;-58.64509; 2.3; 0.48; 19.0;   ;        ;DES J015216.33-583842.3
DESJ0153-1351 ;260170996;028.33026;-13.85861; 2.3; 0.41; 19.9;   ;        ;DES J015319.26-135130.9
DESJ0154-4828 ;258225641;028.71909;-48.48199; 2.3; 0.40; 17.6;   ;        ;DES J015452.58-482855.1
DESJ0156-1011 ;151384552;029.17803;-10.18339; 2.3; 0.76; 19.7;   ;        ;DES J015642.72-101100.2
DESJ0156-6417 ;270068234;029.01120;-64.29168; 2.0; 0.70; 19.6;   ;        ;DES J015602.68-641730.0
DESJ0157-5311 ;262725875;029.46787;-53.19866; 2.3; 0.78; 19.1;   ;        ;DES J015752.28-531155.1
DESJ0158-0039 ; 62581880;029.60320;-00.66649; 2.7; 0.60; 19.1;   ;        ;DES J015824.76-003959.3
DESJ0158-1301 ; 61814814;029.68192;-13.02580; 2.0; 0.50; 18.6;   ;        ;DES J015843.66-130132.8
DESJ0158-2912 ; 61748499;029.56390;-29.20502; 2.7; 0.65; 18.6;d  ;        ;DES J015815.33-291218.0
DESJ0159-1856 ; 63651238;029.78989;-18.94999; 2.3; 0.40; 18.0;d  ;        ;DES J015909.57-185659.9
DESJ0159-3413 ; 65150639;029.76662;-34.21786; 2.5; 0.47; 17.4;b  ;        ;DES J015903.98-341304.2
DESJ0159-4317 ; 64583005;029.87848;-43.29910; 2.0; 0.45; 18.4;   ;        ;DES J015930.83-431756.7
DESJ0159-4818 ; 67328558;029.94591;-48.30353; 2.3; 0.71; 19.8;   ;        ;DES J015947.01-481812.7
DESJ0201-1551 ; 63636548;030.28319;-15.85473; 2.7; 0.49; 18.6;d  ;        ;DES J020107.96-155117.0
DESJ0201-2739 ; 66305304;030.43611;-27.66177; 3.0; 0.88; 20.6;   ;        ;DES J020144.66-273942.3
DESJ0202-2156 ; 66995978;030.64198;-21.93967; 2.0; 0.41; 18.2;b  ;        ;DES J020234.07-215622.8
DESJ0202-2445 ; 69413913;030.52770;-24.75106; 2.3; 0.71; 19.4;   ;        ;DES J020206.64-244503.8
DESJ0202-4105 ; 68398953;030.62112;-41.08867; 2.0; 0.78; 19.2;   ;        ;DES J020229.06-410519.2
DESJ0203-2338 ; 67920213;030.76671;-23.63405; 3.0; 0.62; 18.9;c  ;        ;DES J020304.01-233802.5
DESJ0205-0123 ; 69436305;031.32083;-01.38902; 2.7; 0.69; 19.6;   ;        ;DES J020516.99-012320.4
DESJ0205-0208 ; 70123404;031.48689;-02.14297; 2.0; 0.59; 19.2;a  ;      19;DES J020556.85-020834.6
DESJ0205-3539 ; 68181311;031.35872;-35.66317; 2.7; 0.45; 17.7;   ;        ;DES J020526.09-353947.4
DESJ0205-4038 ; 75249343;031.27043;-40.64118; 2.0; 0.58; 19.3;a  ;       1;DES J020504.90-403828.2
DESJ0206-0114 ; 69428156;031.55611;-01.23817; 2.3; 0.77; 19.2;   ;        ;SDSS J020613.46-011417.1
DESJ0206-1807 ; 74397517;031.71314;-18.12256; 2.3; 0.75; 20.2;   ;        ;DES J020651.15-180721.2
DESJ0206-2054 ; 78494330;031.59147;-20.90561; 2.3; 0.62; 19.4;   ;        ;DES J020621.95-205420.1
DESJ0207-2726 ; 79306856;031.77773;-27.44577; 2.7; 0.42; 17.3;c  ;        ;DES J020706.65-272644.7
DESJ0209-0643 ; 77958138;032.37218;-06.71994; 2.0; 0.42; 18.3;a  ;       5;[MCM2012] SA14 lens
DESJ0210-0119 ; 87141292;032.70906;-01.31827; 2.0; 0.67; 20.0;d  ;        ;DES J021050.17-011905.7
DESJ0210-5351 ; 87591843;032.65344;-53.86460; 2.7; 0.51; 19.7;   ;        ;DES J021036.82-535152.5
DESJ0212-0852 ; 90442652;033.10507;-08.86967; 2.7; 0.69; 19.5;a  ;       6;[MVM2016] SW45
DESJ0214-0206 ; 92012386;033.53333;-02.10789; 2.0; 0.67; 19.3;   ;        ;DES J021407.99-020628.4
DESJ0215-2909 ;152641072;033.80953;-29.15711; 2.7; 0.70; 19.9;   ;        ;DES J021514.28-290925.5
DESJ0216-2920 ;100388067;034.12915;-29.33520; 2.0; 0.55; 19.9;   ;        ;DES J021630.99-292006.7
DESJ0217-0513 ;101828110;034.40483;-05.22483; 2.7; 0.55; 19.7;a,d;  7,8,22;DES J021737.15-051329.3
DESJ0220-3833 ;111920425;035.24032;-38.55092; 3.0; 0.42; 17.6;c  ;        ;DES J022057.67-383303.3
